q1_completions,prior_before_q1,ever_completions,tutored,multi_interest,enroll_date,module12_date,exposure_end,exposure_days_q1,offset_log_days
0,0,0,0,0,11/13/2024 16:41,,59:59.0,181,5.198497031
0,0,0,0,0,5/7/2025 14:40,,59:59.0,55,4.007333185
0,0,0,0,0,1/15/2025 16:36,,59:59.0,167,5.117993812
0,0,0,0,1,5/23/2025 17:24,,59:59.0,39,3.663561646
0,0,0,0,0,1/8/2025 16:31,,59:59.0,174,5.159055299
3,1,10,0,0,10/30/2024 16:51,,59:59.0,181,5.198497031
0,0,0,0,0,3/12/2025 16:31,,59:59.0,111,4.709530201
0,0,0,0,0,10/2/2024 16:33,,59:59.0,181,5.198497031
0,0,0,0,0,4/25/2025 14:34,,59:59.0,67,4.204692619
1,0,1,0,0,4/4/2025 17:36,,59:59.0,88,4.477336814
1,0,1,0,0,2/21/2025 14:41,,59:59.0,130,4.86753445
1,0,1,0,1,3/14/2025 14:41,,59:59.0,109,4.691347882
12,0,12,0,0,3/19/2025 16:31,25:21.6,25:21.6,63,4.143134726
2,0,2,1,1,2/21/2025 17:34,,59:59.0,130,4.86753445
1,0,1,0,0,5/30/2025 17:47,,59:59.0,32,3.465735903
0,0,0,0,0,1/31/2025 17:45,,59:59.0,151,5.017279837
6,0,6,0,1,2/28/2025 14:43,,59:59.0,123,4.812184355
9,0,9,0,1,1/8/2025 16:29,,59:59.0,174,5.159055299
0,0,0,0,1,2/20/2025 13:31,,59:59.0,131,4.875197323
1,0,1,1,0,10/23/2024 16:52,,59:59.0,181,5.198497031
5,1,6,0,0,12/4/2024 21:30,,59:59.0,181,5.198497031
0,0,0,0,1,4/4/2025 14:40,,59:59.0,88,4.477336814
0,0,0,0,1,10/16/2024 19:31,,59:59.0,181,5.198497031
1,0,1,1,0,3/7/2025 17:27,,59:59.0,116,4.753590191
0,0,0,0,0,5/16/2025 15:03,,59:59.0,46,3.828641396
1,0,1,0,0,1/8/2025 17:08,,59:59.0,174,5.159055299
1,0,1,0,0,12/12/2024 16:27,,59:59.0,181,5.198497031
1,0,1,0,0,2/19/2025 16:27,,59:59.0,132,4.882801923
11,0,11,1,0,2/7/2025 17:26,26:08.1,26:08.1,47,3.850147602
0,0,0,1,0,5/16/2025 14:33,,59:59.0,46,3.828641396
0,0,0,0,0,5/30/2025 13:57,,59:59.0,32,3.465735903
1,0,1,0,0,3/28/2025 14:32,,59:59.0,95,4.553876892
2,0,2,0,1,2/6/2025 12:56,,59:59.0,145,4.976733742
0,0,0,0,1,4/30/2025 16:34,,59:59.0,62,4.127134385
1,0,1,0,0,3/6/2025 10:57,,59:59.0,117,4.762173935
2,0,2,0,0,2/28/2025 17:31,,59:59.0,123,4.812184355
3,0,3,0,0,12/5/2024 16:43,,59:59.0,181,5.198497031
0,0,0,0,0,3/28/2025 14:33,,59:59.0,95,4.553876892
3,0,3,0,0,2/21/2025 14:44,,59:59.0,130,4.86753445
1,0,1,1,1,5/7/2025 16:28,,59:59.0,55,4.007333185
0,0,0,1,0,5/31/2025 1:00,,59:59.0,31,3.433987204
0,0,0,0,1,12/11/2024 16:38,,59:59.0,181,5.198497031
1,0,1,0,0,4/18/2025 14:30,,59:59.0,74,4.304065093
8,0,8,0,0,3/7/2025 14:41,,59:59.0,116,4.753590191
7,0,7,1,0,3/21/2025 14:40,,59:59.0,102,4.624972813
2,0,2,0,0,1/22/2025 16:37,,59:59.0,160,5.075173815
0,0,0,0,0,2/21/2025 14:40,,59:59.0,130,4.86753445
0,0,0,0,0,3/12/2025 16:42,,59:59.0,111,4.709530201
3,0,3,0,0,1/8/2025 16:37,,59:59.0,174,5.159055299
0,1,1,0,0,12/5/2024 16:35,,59:59.0,181,5.198497031
0,0,0,0,1,10/2/2024 16:37,,59:59.0,181,5.198497031
1,0,1,1,0,3/28/2025 17:27,,59:59.0,95,4.553876892
0,0,0,0,0,5/28/2025 16:36,,59:59.0,34,3.526360525
1,0,1,1,0,3/14/2025 14:47,,59:59.0,109,4.691347882
7,0,7,0,0,4/2/2025 16:33,,59:59.0,90,4.49980967
0,1,2,0,0,3/21/2025 17:40,,59:59.0,102,4.624972813
0,0,0,0,1,4/23/2025 16:22,,59:59.0,69,4.234106505
2,0,2,0,0,1/29/2025 16:36,,59:59.0,153,5.030437921
0,0,0,0,0,5/30/2025 14:41,,59:59.0,32,3.465735903
0,0,0,0,0,10/8/2024 16:32,,59:59.0,181,5.198497031
0,0,0,0,0,2/12/2025 16:29,,59:59.0,139,4.934473933
2,0,2,0,0,5/30/2025 17:35,,59:59.0,32,3.465735903
1,0,1,0,0,3/21/2025 17:26,,59:59.0,102,4.624972813
0,0,0,1,0,3/26/2025 16:28,,59:59.0,97,4.574710979
0,1,6,0,1,11/20/2024 16:34,,59:59.0,181,5.198497031
2,1,6,0,1,1/24/2025 10:23,,59:59.0,158,5.062595033
3,0,3,0,0,5/28/2025 16:38,,59:59.0,34,3.526360525
0,1,1,0,0,12/18/2024 16:35,,59:59.0,181,5.198497031
0,1,1,0,0,10/24/2024 15:59,,59:59.0,181,5.198497031
2,1,4,0,0,10/24/2024 16:39,,59:59.0,181,5.198497031
1,0,1,0,0,12/12/2024 16:42,,59:59.0,181,5.198497031
12,0,12,0,0,1/8/2025 16:30,06:26.5,06:26.5,85,4.442651256
0,0,0,0,0,1/29/2025 12:37,,59:59.0,153,5.030437921
6,0,7,0,0,3/28/2025 17:25,,59:59.0,95,4.553876892
2,0,2,0,0,3/14/2025 17:30,,59:59.0,109,4.691347882
2,0,2,0,0,12/18/2024 16:38,,59:59.0,181,5.198497031
0,0,0,0,0,10/9/2024 16:38,,59:59.0,181,5.198497031
0,1,1,0,1,11/27/2024 16:40,,59:59.0,181,5.198497031
0,0,0,0,0,10/23/2024 17:06,,59:59.0,181,5.198497031
0,0,0,0,0,12/11/2024 16:36,,59:59.0,181,5.198497031
1,0,1,1,0,3/7/2025 17:29,,59:59.0,116,4.753590191
3,0,3,0,0,2/21/2025 17:31,,59:59.0,130,4.86753445
12,0,12,0,0,3/19/2025 16:15,59:20.4,59:20.4,52,3.951243719
0,0,0,0,0,2/26/2025 16:35,,59:59.0,125,4.828313737
0,0,0,0,0,5/16/2025 17:27,,59:59.0,46,3.828641396
0,0,0,0,0,2/26/2025 16:48,,59:59.0,125,4.828313737
1,1,3,0,0,10/23/2024 16:42,,59:59.0,181,5.198497031
0,0,0,0,0,5/28/2025 16:42,,59:59.0,34,3.526360525
0,0,0,0,0,1/8/2025 16:30,,59:59.0,174,5.159055299
2,0,2,0,0,3/5/2025 16:32,,59:59.0,118,4.770684624
0,0,0,0,0,5/18/2025 1:02,,59:59.0,44,3.784189634
0,0,0,0,0,4/11/2025 14:54,,59:59.0,81,4.394449155
1,0,1,1,1,5/21/2025 16:46,,59:59.0,41,3.713572067
0,0,0,0,0,3/5/2025 16:29,,59:59.0,118,4.770684624
1,0,1,0,0,4/11/2025 14:44,,59:59.0,81,4.394449155
1,0,1,0,0,4/18/2025 17:29,,59:59.0,74,4.304065093
0,0,0,0,0,5/30/2025 14:41,,59:59.0,32,3.465735903
0,0,0,0,0,5/9/2025 14:30,,59:59.0,53,3.970291914
1,0,1,0,0,10/16/2024 22:19,,59:59.0,181,5.198497031
6,0,6,0,0,3/7/2025 14:49,,59:59.0,116,4.753590191
1,0,1,0,0,5/21/2025 16:49,,59:59.0,41,3.713572067
0,0,0,0,0,2/21/2025 17:26,,59:59.0,130,4.86753445
1,0,1,0,0,2/7/2025 17:39,,59:59.0,144,4.9698133
0,0,0,0,0,2/26/2025 16:30,,59:59.0,125,4.828313737
2,0,2,0,0,2/21/2025 14:45,,59:59.0,130,4.86753445
3,0,4,0,0,2/21/2025 17:33,,59:59.0,130,4.86753445
2,0,2,1,0,3/12/2025 16:31,,59:59.0,111,4.709530201
2,0,2,1,0,12/18/2024 16:37,,59:59.0,181,5.198497031
1,0,1,1,0,4/9/2025 16:31,,59:59.0,83,4.418840608
3,0,3,0,0,5/28/2025 16:36,,59:59.0,34,3.526360525
2,0,2,0,0,3/21/2025 17:35,,59:59.0,102,4.624972813
